date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:44	97/97	---MCZ	200	added ('OK')	text/plain	date:Tue,%2005%20Sep%202023%2016:04:18%20GMT	https://concepto.de/robots.txt		(from )
23:13:44	70883/70883	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2011:56:22%20GMT	https://concepto.de/pagina-web/	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/pagina-web/index.html	(from )
23:13:45	54805/54805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651ed188-d615%22	https://cdn.tynt.com/ti.js	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/cdn.tynt.com/ti.js	(from https://concepto.de/pagina-web/)
23:13:45	110147/110147	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2005:21:33%20GMT	https://concepto.de/wp-includes/css/dist/block-library/style.min.css	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-includes/css/dist/block-library/style.min.css	(from https://concepto.de/pagina-web/)
23:13:45	2321/2321	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2019:01:15%20GMT	https://concepto.de/wp-content/cache/autoptimize/css/autoptimize_single_0e4a098f3f6e3faede64db8b9da80ba2.css	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-content/cache/autoptimize/css/autoptimize_single_0e4a098f3f6e3faede64db8b9da80ba2.css	(from https://concepto.de/pagina-web/)
23:13:46	58252/58252	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2019:01:15%20GMT	https://concepto.de/wp-content/cache/autoptimize/css/autoptimize_single_3857f0ec0abe421b272f062b81b830c0.css	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-content/cache/autoptimize/css/autoptimize_single_3857f0ec0abe421b272f062b81b830c0.css	(from https://concepto.de/pagina-web/)
23:13:46	6234/6234	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202023%2012:28:16%20GMT	https://concepto.de/wp-content/themes/concepto_v5/js/essential.js	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-content/themes/concepto_v5/js/essential.js	(from https://concepto.de/pagina-web/)
23:13:47	30012/30012	---M-Z	200	added ('OK')	application/javascript	etag:%2261a3e708-2452%22	https://cdnjs.cloudflare.com/ajax/libs/fslightbox/3.3.1/index.min.js	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/cdnjs.cloudflare.com/ajax/libs/fslightbox/3.3.1/index.min.js	(from https://concepto.de/pagina-web/)
23:13:47	1383/1383	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Nov%202023%2021:17:15%20GMT	https://concepto.de/wp-content/themes/concepto_v5/favicon/apple-icon-57x57.png	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-content/themes/concepto_v5/favicon/apple-icon-57x57.png	(from https://concepto.de/pagina-web/)
23:13:47	473216/473216	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Aug%202021%2001:03:33%20GMT	https://concepto.de/wp-content/uploads/2021/pizarra2.jpg	C:/Users/villa/Desktop/Nueva%20carpeta/creo/clon_cre/concepto.de/wp-content/uploads/2021/pizarra2.jpg	(from https://concepto.de/pagina-web/)
